hardware_model,manufacturer,serial_numbers,cruise_beg_date,transmit_frequency,bin_length,transmit_pulse_length,blanking_interval,bandwidth,transducer_config,depth_range,num_bins,ens_avg_intvl,chief_scientist,personnel_charge
Narrowband 150,RDI,,1999-02-13,153 kHz,4 m,4 m,4 m,narrowband,JANUS CONCAVE,19 to 335 m,80,120 s,A.Wisotzki,Completed in CODAS-format by S.Tieste
Narrowband 150,RDI,,1998-08-28,153 kHz,4 m,4 m,4 m,narrowband,JANUS CONCAVE,19 to 335 m,80,120 s,E.Fahrbach,Completed in CODAS-format by S.Tieste
NB 150,RDI,,1999-09-09,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,D.Zimmerman,June Firing/UH
NB 150,RDI,,1999-10-20,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,L.Stratton,June Firing/UH
NB 150,RDI,,1999-11-21,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,S.Kunze,June Firing/UH
NB 150,RDI,,2000-02-01,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,D.Zimmerman,June Firing and KG/UH
NB 150,RDI,,2000-04-11,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,B.Moore,June Firing/UH
,RDI,,1993-07-11,,8 m,16 m,2m,,,21 to 525 m,64,360 s,D.Quadfasel,R.Reppin
narrowband 75 kHz,RDI,,1995-07-01,75 kHz,16 m,16 m,8 m,narrowband,,30 - 1038 m,64,60 sec,Yoshifumi Kuroda,Y.Kashino
narrowband 75 kHz,RDI,,1996-01-23,75 kHz,16 m,16 m,8 m,narrowband,,30 - 1038 m,64,300 sec,Yoshifumi Kuroda,Y.Kashino
narrowband 75 kHz,RDI,,1996-07-07,75 kHz,16 m,16 m,8 m,narrowband,,30 - 1038 m,64,60 sec,Kunio Yoneyama,Y.Kashino
narrowband 75 kHz,RDI,,1997-01-26,75 kHz,16 m,16 m,8 m,narrowband,,30 - 1038 m,64,300 sec,Kentaro Ando,Y.Kashino
narrowband 75 kHz,RDI,,1997-07-29,75 kHz,16 m,16 m,8 m,narrowband,,30 - 1038 m,64,180 sec,Kunio Yoneyama,Y.Kashino
narrowband 75 kHz,RDI,,1998-01-03,75 kHz,4 m,4 m,2 m,narrowband,,12 - 520 m,128,30 sec,Kentaro Ando,Y.Kashino
narrowband 75 kHz,RDI,,1998-08-08,75 kHz,16 m,16 m,8 m,narrowband,,30 - 1038 m,64,600 sec,Kentaro Ando,Y.Kashino
narrowband 75 kHz,RDI,,1999-01-25,75 kHz,16 m,16 m,8 m,narrowband,,30 - 1038 m,50,300 sec,Yuji Kashino,Y.Kashino
narrowband 75 kHz,RDI,,1999-10-21,75 kHz,16 m,16 m,8 m,narrowband,,30 - 1038 m,50,300 sec,Yuji Kashino,Y.Kashino
narrowband 75 kHz,RDI,,1994-12-21,75 kHz,16 m,16 m,8 m,narrowband,,30 - 1038 m,64,600 sec,Yoshifumi Kuroda,Y.Kashino
NB 150,RDI,,2000-06-15,150 KHz,8 m,8 m,4 m,narrowband,,20 to 468m (bin centers),50,300 s,Margie McCarty,Keola Gregg and Jules Hummon
